Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD2563,Pune,GHI University,4th,Cybersecurity,Whatsapp
LD2564,Chennai,JKL Institute,1st,Electric Vehicle,College Collaboration
LD2565,Pune,DEF Academy,2nd,Electric Vehicle,Instagram
LD2566,Bangalore,DEF Academy,4th,Robotics,LinkedIn
LD2567,Delhi,JKL Institute,2nd,Electric Vehicle,College Collaboration
LD2568,Delhi,ABC Institute,4th,Robotics,Instagram
LD2569,Bangalore,ABC Institute,1st,Cloud Computing,Google Form
LD2570,Surat,PQR College,4th,AI,LinkedIn
LD2571,Kolkata,XYZ University,1st,Data Science,College Collaboration
LD2572,Surat,XYZ University,1st,Electric Vehicle,LinkedIn
LD2573,Bangalore,JKL Institute,1st,AI,College Collaboration
LD2574,Mumbai,JKL Institute,4th,Cloud Computing,LinkedIn
LD2575,Chennai,GHI University,1st,AI,Google Form
LD2576,Pune,ABC Institute,1st,Cybersecurity,LinkedIn
LD2577,Ahmedabad,ABC Institute,2nd,Cybersecurity,Google Form
LD2578,Surat,XYZ University,1st,Robotics,Mass-Mailing
LD2579,Surat,JKL Institute,1st,Electric Vehicle,Whatsapp
LD2580,Pune,XYZ University,1st,Cybersecurity,LinkedIn
LD2581,Bangalore,DEF Academy,2nd,Robotics,Whatsapp
LD2582,Mumbai,PQR College,1st,AI,Whatsapp
LD2583,Mumbai,DEF Academy,4th,AI,Whatsapp
LD2584,Pune,ABC Institute,4th,AI,Instagram
LD2585,Chennai,GHI University,3rd,Data Science,College Collaboration
LD2586,Delhi,DEF Academy,3rd,Robotics,Mass-Mailing
LD2587,Chennai,PQR College,4th,Cybersecurity,Mass-Mailing
LD2588,Pune,XYZ University,4th,Robotics,LinkedIn
LD2589,Chennai,ABC Institute,3rd,AI,Instagram
LD2590,Kolkata,ABC Institute,3rd,Electric Vehicle,LinkedIn
LD2591,Ahmedabad,GHI University,4th,Data Science,LinkedIn
LD2592,Surat,GHI University,2nd,AI,Whatsapp
LD2593,Mumbai,XYZ University,2nd,Data Science,College Collaboration
LD2594,Chennai,JKL Institute,1st,AI,Instagram
LD2595,Chennai,GHI University,2nd,AI,Google Form
LD2596,Delhi,GHI University,2nd,Cybersecurity,LinkedIn
LD2597,Pune,DEF Academy,1st,AI,Instagram
LD2598,Mumbai,JKL Institute,1st,Cybersecurity,Instagram
LD2599,Pune,PQR College,4th,AI,Instagram
LD2600,Pune,JKL Institute,3rd,Cybersecurity,Instagram
LD2601,Delhi,DEF Academy,4th,Robotics,Whatsapp
LD2602,Ahmedabad,XYZ University,3rd,Electric Vehicle,College Collaboration
LD2603,Ahmedabad,ABC Institute,1st,Cybersecurity,Google Form
LD2604,Chennai,XYZ University,2nd,Cloud Computing,Instagram
LD2605,Kolkata,JKL Institute,1st,AI,Whatsapp
LD2606,Kolkata,XYZ University,1st,Electric Vehicle,Whatsapp
LD2607,Mumbai,XYZ University,4th,Robotics,College Collaboration
LD2608,Mumbai,DEF Academy,4th,Electric Vehicle,Mass-Mailing
LD2609,Ahmedabad,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD2610,Surat,DEF Academy,2nd,Cybersecurity,Google Form
LD2611,Ahmedabad,JKL Institute,3rd,Data Science,Instagram
LD2612,Kolkata,JKL Institute,3rd,Data Science,LinkedIn
LD2613,Pune,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD2614,Ahmedabad,JKL Institute,3rd,Data Science,Mass-Mailing
LD2615,Bangalore,PQR College,3rd,Cybersecurity,Google Form
LD2616,Bangalore,GHI University,3rd,Cloud Computing,Whatsapp
LD2617,Chennai,JKL Institute,4th,Data Science,Mass-Mailing
LD2618,Surat,GHI University,4th,AI,LinkedIn
LD2619,Bangalore,GHI University,4th,Cybersecurity,College Collaboration
LD2620,Surat,PQR College,1st,Robotics,College Collaboration
LD2621,Kolkata,DEF Academy,1st,Data Science,Mass-Mailing
LD2622,Chennai,PQR College,4th,Cybersecurity,College Collaboration
LD2623,Surat,ABC Institute,2nd,Electric Vehicle,Instagram
LD2624,Chennai,ABC Institute,4th,Data Science,Google Form
LD2625,Ahmedabad,GHI University,2nd,Electric Vehicle,College Collaboration
LD2626,Pune,GHI University,4th,Cloud Computing,College Collaboration
LD2627,Bangalore,XYZ University,4th,Electric Vehicle,College Collaboration
LD2628,Bangalore,DEF Academy,3rd,Robotics,Google Form
LD2629,Bangalore,ABC Institute,3rd,AI,Google Form
LD2630,Ahmedabad,DEF Academy,2nd,Cybersecurity,LinkedIn
LD2631,Delhi,ABC Institute,4th,Robotics,Mass-Mailing
LD2632,Delhi,ABC Institute,2nd,Cybersecurity,Whatsapp
LD2633,Kolkata,GHI University,2nd,Robotics,Mass-Mailing
LD2634,Ahmedabad,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD2635,Ahmedabad,PQR College,1st,Robotics,Mass-Mailing
LD2636,Bangalore,DEF Academy,1st,Cloud Computing,Instagram
LD2637,Bangalore,DEF Academy,4th,Data Science,College Collaboration
LD2638,Surat,XYZ University,4th,Cybersecurity,Instagram
LD2639,Bangalore,ABC Institute,4th,Electric Vehicle,College Collaboration
LD2640,Ahmedabad,XYZ University,4th,AI,College Collaboration
LD2641,Pune,PQR College,1st,Cybersecurity,LinkedIn
LD2642,Ahmedabad,JKL Institute,2nd,Electric Vehicle,College Collaboration
LD2643,Ahmedabad,DEF Academy,3rd,Cloud Computing,Whatsapp
LD2644,Pune,PQR College,1st,Cybersecurity,Whatsapp
LD2645,Kolkata,ABC Institute,2nd,Cloud Computing,LinkedIn
LD2646,Ahmedabad,XYZ University,2nd,Electric Vehicle,Mass-Mailing
LD2647,Pune,GHI University,1st,Cybersecurity,Google Form
LD2648,Surat,ABC Institute,2nd,Data Science,College Collaboration
LD2649,Ahmedabad,PQR College,3rd,Data Science,Mass-Mailing
LD2650,Ahmedabad,DEF Academy,4th,AI,Google Form
LD2651,Pune,XYZ University,2nd,Robotics,Instagram
LD2652,Kolkata,DEF Academy,1st,Robotics,Whatsapp
LD2653,Kolkata,JKL Institute,4th,AI,College Collaboration
LD2654,Kolkata,DEF Academy,2nd,Robotics,LinkedIn
LD2655,Kolkata,GHI University,3rd,Robotics,Google Form
LD2656,Kolkata,JKL Institute,1st,Electric Vehicle,College Collaboration
LD2657,Kolkata,JKL Institute,4th,Electric Vehicle,Google Form
LD2658,Chennai,DEF Academy,2nd,Robotics,Instagram
LD2659,Mumbai,XYZ University,1st,Cybersecurity,Instagram
LD2660,Chennai,XYZ University,2nd,AI,Google Form
LD2661,Delhi,ABC Institute,4th,Cloud Computing,Instagram
LD2662,Delhi,PQR College,3rd,Cloud Computing,Mass-Mailing
LD2663,Kolkata,XYZ University,4th,Cybersecurity,Whatsapp
LD2664,Surat,ABC Institute,1st,Electric Vehicle,Whatsapp
LD2665,Ahmedabad,DEF Academy,2nd,Electric Vehicle,Mass-Mailing
LD2666,Pune,PQR College,2nd,Data Science,Mass-Mailing
LD2667,Surat,XYZ University,1st,Cybersecurity,Mass-Mailing
LD2668,Pune,JKL Institute,4th,Cybersecurity,College Collaboration
LD2669,Chennai,PQR College,1st,Cybersecurity,Mass-Mailing
LD2670,Bangalore,XYZ University,3rd,AI,LinkedIn
LD2671,Ahmedabad,PQR College,1st,Robotics,Google Form
LD2672,Chennai,GHI University,1st,AI,College Collaboration
LD2673,Bangalore,DEF Academy,2nd,Data Science,Instagram
LD2674,Ahmedabad,ABC Institute,4th,Data Science,Whatsapp
LD2675,Pune,GHI University,1st,Electric Vehicle,Mass-Mailing
LD2676,Kolkata,ABC Institute,2nd,Cloud Computing,Mass-Mailing
LD2677,Delhi,PQR College,3rd,AI,College Collaboration
LD2678,Ahmedabad,GHI University,2nd,Data Science,Google Form
LD2679,Ahmedabad,GHI University,2nd,Robotics,Instagram
LD2680,Bangalore,ABC Institute,4th,Electric Vehicle,LinkedIn
LD2681,Bangalore,DEF Academy,3rd,Cloud Computing,LinkedIn
LD2682,Mumbai,JKL Institute,4th,Data Science,Whatsapp
LD2683,Chennai,PQR College,1st,Data Science,College Collaboration
LD2684,Mumbai,DEF Academy,4th,Data Science,LinkedIn
LD2685,Surat,ABC Institute,2nd,Cloud Computing,College Collaboration
LD2686,Mumbai,XYZ University,1st,AI,LinkedIn
LD2687,Chennai,GHI University,3rd,Electric Vehicle,College Collaboration
LD2688,Mumbai,ABC Institute,4th,Cloud Computing,LinkedIn
LD2689,Ahmedabad,ABC Institute,1st,Cybersecurity,Instagram
LD2690,Surat,JKL Institute,3rd,Cloud Computing,Whatsapp
LD2691,Mumbai,DEF Academy,2nd,AI,Whatsapp
LD2692,Pune,DEF Academy,3rd,Data Science,College Collaboration
LD2693,Kolkata,GHI University,1st,Robotics,Mass-Mailing
LD2694,Chennai,PQR College,2nd,Cloud Computing,College Collaboration
LD2695,Surat,PQR College,3rd,Cloud Computing,Mass-Mailing
LD2696,Surat,DEF Academy,4th,Electric Vehicle,Mass-Mailing
LD2697,Delhi,XYZ University,3rd,Robotics,LinkedIn
LD2698,Ahmedabad,ABC Institute,3rd,AI,Instagram
LD2699,Ahmedabad,GHI University,3rd,Cybersecurity,Google Form
LD2700,Bangalore,GHI University,4th,Cloud Computing,Instagram
LD2701,Ahmedabad,DEF Academy,1st,AI,LinkedIn
LD2702,Bangalore,GHI University,3rd,Robotics,LinkedIn
LD2703,Bangalore,DEF Academy,4th,Cybersecurity,LinkedIn
LD2704,Bangalore,JKL Institute,1st,Robotics,Mass-Mailing
LD2705,Pune,XYZ University,4th,Cloud Computing,Mass-Mailing
LD2706,Delhi,XYZ University,2nd,Robotics,LinkedIn
LD2707,Mumbai,GHI University,2nd,Robotics,Mass-Mailing
LD2708,Surat,ABC Institute,2nd,Data Science,Mass-Mailing
LD2709,Delhi,PQR College,3rd,Data Science,College Collaboration
LD2710,Bangalore,XYZ University,1st,Data Science,Google Form
LD2711,Ahmedabad,DEF Academy,3rd,Robotics,Instagram
LD2712,Mumbai,JKL Institute,3rd,Robotics,Mass-Mailing
LD2713,Ahmedabad,DEF Academy,4th,Data Science,LinkedIn
LD2714,Chennai,ABC Institute,1st,Cloud Computing,Instagram
LD2715,Chennai,ABC Institute,3rd,Cloud Computing,Whatsapp
LD2716,Bangalore,DEF Academy,2nd,Electric Vehicle,Google Form
LD2717,Mumbai,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD2718,Mumbai,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD2719,Bangalore,JKL Institute,3rd,Cybersecurity,Google Form
LD2720,Delhi,XYZ University,1st,Data Science,LinkedIn
LD2721,Pune,PQR College,2nd,Robotics,Mass-Mailing
LD2722,Chennai,DEF Academy,1st,AI,Instagram
LD2723,Mumbai,JKL Institute,3rd,Data Science,Google Form
LD2724,Surat,PQR College,1st,Electric Vehicle,Instagram
LD2725,Surat,GHI University,4th,Electric Vehicle,LinkedIn
LD2726,Mumbai,DEF Academy,1st,AI,College Collaboration
LD2727,Pune,ABC Institute,2nd,Cybersecurity,Mass-Mailing
LD2728,Pune,XYZ University,4th,Electric Vehicle,Instagram
LD2729,Kolkata,ABC Institute,3rd,AI,LinkedIn
LD2730,Bangalore,XYZ University,4th,Cloud Computing,LinkedIn
LD2731,Delhi,XYZ University,4th,Electric Vehicle,Instagram
LD2732,Kolkata,GHI University,4th,AI,Whatsapp
LD2733,Kolkata,XYZ University,4th,Robotics,LinkedIn
LD2734,Ahmedabad,GHI University,4th,Electric Vehicle,Whatsapp
LD2735,Chennai,XYZ University,1st,Robotics,Instagram
LD2736,Chennai,DEF Academy,3rd,Cloud Computing,Google Form
LD2737,Ahmedabad,JKL Institute,4th,Cloud Computing,Whatsapp
LD2738,Pune,DEF Academy,4th,Data Science,College Collaboration
LD2739,Delhi,DEF Academy,3rd,AI,College Collaboration
LD2740,Bangalore,PQR College,3rd,Robotics,Google Form
LD2741,Ahmedabad,XYZ University,2nd,Data Science,Google Form
LD2742,Chennai,XYZ University,2nd,Data Science,College Collaboration
LD2743,Kolkata,JKL Institute,4th,Cybersecurity,Whatsapp
LD2744,Surat,ABC Institute,2nd,Electric Vehicle,Google Form
LD2745,Delhi,DEF Academy,1st,Cybersecurity,LinkedIn
LD2746,Mumbai,DEF Academy,3rd,Electric Vehicle,Whatsapp
LD2747,Pune,GHI University,4th,Cybersecurity,Google Form
LD2748,Kolkata,JKL Institute,1st,AI,LinkedIn
LD2749,Bangalore,JKL Institute,2nd,AI,Whatsapp
LD2750,Chennai,JKL Institute,1st,Robotics,College Collaboration
LD2751,Kolkata,JKL Institute,1st,Robotics,Whatsapp
LD2752,Mumbai,GHI University,4th,Cloud Computing,College Collaboration
LD2753,Pune,DEF Academy,2nd,AI,LinkedIn
LD2754,Chennai,GHI University,1st,Electric Vehicle,Mass-Mailing
LD2755,Pune,XYZ University,4th,Data Science,Whatsapp
LD2756,Delhi,ABC Institute,3rd,Robotics,Mass-Mailing
LD2757,Chennai,PQR College,3rd,Cybersecurity,LinkedIn
LD2758,Kolkata,DEF Academy,4th,AI,LinkedIn
LD2759,Delhi,XYZ University,2nd,Cybersecurity,LinkedIn
LD2760,Bangalore,DEF Academy,2nd,Robotics,College Collaboration
LD2761,Pune,GHI University,3rd,Data Science,Instagram
LD2762,Chennai,JKL Institute,2nd,AI,Google Form
LD2763,Bangalore,PQR College,3rd,Electric Vehicle,LinkedIn
LD2764,Bangalore,XYZ University,1st,Data Science,College Collaboration
LD2765,Delhi,XYZ University,4th,AI,LinkedIn
LD2766,Bangalore,PQR College,4th,AI,Mass-Mailing
LD2767,Delhi,GHI University,3rd,Electric Vehicle,College Collaboration
LD2768,Delhi,PQR College,1st,Data Science,College Collaboration
LD2769,Ahmedabad,GHI University,4th,Data Science,Whatsapp
LD2770,Ahmedabad,DEF Academy,3rd,Cybersecurity,LinkedIn
LD2771,Mumbai,XYZ University,3rd,Robotics,Google Form
LD2772,Mumbai,DEF Academy,4th,Electric Vehicle,LinkedIn
LD2773,Kolkata,PQR College,1st,Cybersecurity,LinkedIn
LD2774,Mumbai,PQR College,3rd,Data Science,LinkedIn
LD2775,Pune,ABC Institute,2nd,Data Science,Mass-Mailing
LD2776,Pune,XYZ University,3rd,AI,Mass-Mailing
LD2777,Pune,PQR College,4th,Robotics,Whatsapp
LD2778,Delhi,XYZ University,3rd,Cloud Computing,Instagram
LD2779,Chennai,PQR College,4th,AI,Google Form
LD2780,Pune,DEF Academy,3rd,Cloud Computing,College Collaboration
LD2781,Ahmedabad,GHI University,4th,Cybersecurity,LinkedIn
LD2782,Surat,DEF Academy,3rd,Cloud Computing,LinkedIn
LD2783,Kolkata,GHI University,3rd,Data Science,Instagram
LD2784,Pune,XYZ University,4th,Robotics,Mass-Mailing
LD2785,Surat,ABC Institute,2nd,Cloud Computing,College Collaboration
LD2786,Chennai,DEF Academy,3rd,Data Science,Instagram
LD2787,Ahmedabad,XYZ University,2nd,Cloud Computing,Mass-Mailing
LD2788,Bangalore,XYZ University,1st,Cybersecurity,Google Form
LD2789,Delhi,PQR College,3rd,Cybersecurity,Google Form
LD2790,Chennai,ABC Institute,1st,Robotics,LinkedIn
LD2791,Chennai,JKL Institute,1st,AI,Whatsapp
LD2792,Chennai,XYZ University,1st,Cybersecurity,Mass-Mailing
LD2793,Pune,GHI University,3rd,Cybersecurity,College Collaboration
LD2794,Mumbai,GHI University,4th,Electric Vehicle,Whatsapp
LD2795,Ahmedabad,ABC Institute,1st,Electric Vehicle,Instagram
LD2796,Surat,JKL Institute,3rd,Robotics,Mass-Mailing
LD2797,Ahmedabad,JKL Institute,4th,Robotics,Mass-Mailing
LD2798,Pune,GHI University,1st,Cybersecurity,Instagram
LD2799,Kolkata,DEF Academy,2nd,Cloud Computing,Mass-Mailing
LD2800,Ahmedabad,GHI University,3rd,Cloud Computing,Mass-Mailing
LD2801,Mumbai,ABC Institute,1st,Cybersecurity,College Collaboration
LD2802,Surat,DEF Academy,1st,Cybersecurity,College Collaboration
LD2803,Mumbai,DEF Academy,4th,Electric Vehicle,Google Form
LD2804,Pune,PQR College,1st,Robotics,Google Form
LD2805,Chennai,JKL Institute,2nd,Robotics,Instagram
LD2806,Kolkata,XYZ University,4th,AI,College Collaboration
LD2807,Chennai,ABC Institute,2nd,AI,College Collaboration
LD2808,Ahmedabad,DEF Academy,2nd,Data Science,College Collaboration
LD2809,Surat,DEF Academy,1st,Cloud Computing,Mass-Mailing
LD2810,Mumbai,JKL Institute,2nd,Robotics,Google Form
LD2811,Delhi,ABC Institute,1st,Cloud Computing,Instagram
LD2812,Pune,DEF Academy,1st,AI,Google Form
LD2813,Surat,JKL Institute,4th,Electric Vehicle,LinkedIn
LD2814,Kolkata,PQR College,1st,Cybersecurity,LinkedIn
LD2815,Pune,GHI University,4th,Cloud Computing,Instagram
LD2816,Surat,ABC Institute,2nd,AI,Whatsapp
LD2817,Delhi,ABC Institute,2nd,Cloud Computing,Mass-Mailing
LD2818,Bangalore,JKL Institute,4th,Robotics,LinkedIn
LD2819,Ahmedabad,PQR College,3rd,Cybersecurity,Mass-Mailing
LD2820,Bangalore,PQR College,3rd,Data Science,Mass-Mailing
LD2821,Ahmedabad,PQR College,2nd,Electric Vehicle,Whatsapp
LD2822,Mumbai,JKL Institute,4th,Robotics,Instagram
LD2823,Ahmedabad,JKL Institute,2nd,Electric Vehicle,Mass-Mailing
LD2824,Bangalore,ABC Institute,1st,AI,LinkedIn
LD2825,Mumbai,GHI University,3rd,Data Science,Google Form
LD2826,Surat,JKL Institute,2nd,Cloud Computing,College Collaboration
LD2827,Pune,XYZ University,4th,Electric Vehicle,Google Form
LD2828,Pune,XYZ University,3rd,Robotics,Whatsapp
LD2829,Surat,GHI University,2nd,AI,Google Form
LD2830,Bangalore,PQR College,2nd,Cloud Computing,LinkedIn
LD2831,Ahmedabad,PQR College,4th,Electric Vehicle,College Collaboration
LD2832,Chennai,XYZ University,2nd,Cybersecurity,LinkedIn
LD2833,Ahmedabad,DEF Academy,1st,AI,Whatsapp
LD2834,Mumbai,PQR College,4th,Cloud Computing,Google Form
LD2835,Mumbai,ABC Institute,1st,Cloud Computing,Google Form
LD2836,Chennai,GHI University,2nd,AI,College Collaboration
LD2837,Pune,DEF Academy,2nd,Cybersecurity,LinkedIn
LD2838,Bangalore,ABC Institute,1st,Robotics,College Collaboration
LD2839,Pune,GHI University,1st,Electric Vehicle,College Collaboration
LD2840,Ahmedabad,JKL Institute,3rd,Electric Vehicle,Mass-Mailing
LD2841,Pune,PQR College,3rd,Data Science,College Collaboration
LD2842,Surat,ABC Institute,4th,Electric Vehicle,LinkedIn
LD2843,Bangalore,PQR College,4th,Cybersecurity,Instagram
LD2844,Surat,GHI University,2nd,Cybersecurity,College Collaboration
LD2845,Mumbai,PQR College,1st,Data Science,College Collaboration
LD2846,Mumbai,XYZ University,4th,Robotics,Instagram
LD2847,Delhi,XYZ University,1st,Cybersecurity,Mass-Mailing
LD2848,Chennai,JKL Institute,2nd,AI,Whatsapp
LD2849,Pune,ABC Institute,1st,Data Science,LinkedIn
LD2850,Pune,ABC Institute,1st,Robotics,Google Form
LD2851,Bangalore,DEF Academy,2nd,AI,Mass-Mailing
LD2852,Pune,GHI University,4th,Data Science,Google Form
LD2853,Ahmedabad,XYZ University,4th,Cybersecurity,College Collaboration
LD2854,Mumbai,PQR College,2nd,Cybersecurity,Whatsapp
LD2855,Chennai,JKL Institute,2nd,Electric Vehicle,Instagram
LD2856,Bangalore,PQR College,2nd,Data Science,LinkedIn
LD2857,Surat,DEF Academy,2nd,Robotics,Mass-Mailing
LD2858,Mumbai,GHI University,2nd,Robotics,Whatsapp
LD2859,Kolkata,ABC Institute,1st,Data Science,LinkedIn
LD2860,Ahmedabad,PQR College,4th,Cloud Computing,College Collaboration
LD2861,Ahmedabad,ABC Institute,4th,Data Science,College Collaboration
LD2862,Surat,DEF Academy,2nd,Cybersecurity,Whatsapp
LD2863,Kolkata,DEF Academy,3rd,Cloud Computing,Google Form
LD2864,Pune,ABC Institute,4th,Robotics,Instagram
LD2865,Ahmedabad,DEF Academy,2nd,Cloud Computing,College Collaboration
LD2866,Pune,ABC Institute,1st,Data Science,College Collaboration
LD2867,Bangalore,GHI University,3rd,Data Science,Google Form
LD2868,Mumbai,JKL Institute,4th,Robotics,Whatsapp
LD2869,Mumbai,XYZ University,1st,AI,Instagram
LD2870,Surat,PQR College,3rd,AI,College Collaboration
LD2871,Pune,DEF Academy,3rd,AI,Google Form
LD2872,Bangalore,DEF Academy,3rd,AI,LinkedIn
LD2873,Bangalore,DEF Academy,1st,Data Science,LinkedIn
LD2874,Delhi,ABC Institute,2nd,Cloud Computing,College Collaboration
LD2875,Ahmedabad,DEF Academy,3rd,Cybersecurity,Mass-Mailing
LD2876,Mumbai,PQR College,3rd,AI,Instagram
LD2877,Chennai,PQR College,4th,AI,Instagram
LD2878,Mumbai,GHI University,3rd,Electric Vehicle,Instagram
LD2879,Surat,XYZ University,1st,Electric Vehicle,Google Form
LD2880,Kolkata,GHI University,3rd,Cloud Computing,College Collaboration
LD2881,Chennai,GHI University,3rd,Cloud Computing,LinkedIn
LD2882,Chennai,GHI University,3rd,Cloud Computing,Google Form
LD2883,Bangalore,DEF Academy,1st,Electric Vehicle,LinkedIn
LD2884,Bangalore,GHI University,3rd,Data Science,Google Form
LD2885,Surat,ABC Institute,4th,Cybersecurity,College Collaboration
LD2886,Mumbai,JKL Institute,3rd,Electric Vehicle,College Collaboration
LD2887,Pune,XYZ University,2nd,Electric Vehicle,LinkedIn
LD2888,Chennai,XYZ University,2nd,Cloud Computing,Whatsapp
LD2889,Surat,ABC Institute,3rd,Cybersecurity,LinkedIn
LD2890,Chennai,GHI University,1st,Data Science,LinkedIn
LD2891,Kolkata,PQR College,3rd,Electric Vehicle,LinkedIn
LD2892,Chennai,ABC Institute,2nd,AI,Mass-Mailing
LD2893,Chennai,DEF Academy,4th,Cybersecurity,LinkedIn
LD2894,Pune,DEF Academy,1st,AI,Mass-Mailing
LD2895,Surat,PQR College,1st,Robotics,Instagram
LD2896,Pune,GHI University,3rd,Data Science,Google Form
LD2897,Delhi,JKL Institute,2nd,Cloud Computing,Mass-Mailing
LD2898,Pune,DEF Academy,4th,Robotics,Mass-Mailing
LD2899,Surat,JKL Institute,1st,Robotics,LinkedIn
LD2900,Kolkata,ABC Institute,1st,Cloud Computing,College Collaboration
LD2901,Surat,GHI University,4th,AI,Whatsapp
LD2902,Pune,JKL Institute,2nd,Cybersecurity,College Collaboration
LD2903,Bangalore,ABC Institute,4th,Robotics,Whatsapp
LD2904,Kolkata,GHI University,4th,Cloud Computing,Whatsapp
LD2905,Kolkata,PQR College,1st,Robotics,LinkedIn
LD2906,Bangalore,PQR College,2nd,Cloud Computing,Instagram
LD2907,Mumbai,PQR College,1st,Electric Vehicle,Google Form
LD2908,Pune,DEF Academy,4th,Robotics,LinkedIn
LD2909,Chennai,XYZ University,3rd,Robotics,Instagram
LD2910,Delhi,JKL Institute,3rd,Robotics,Mass-Mailing
LD2911,Delhi,XYZ University,2nd,AI,Mass-Mailing
LD2912,Bangalore,XYZ University,2nd,Robotics,Google Form
LD2913,Chennai,PQR College,3rd,AI,College Collaboration
LD2914,Bangalore,JKL Institute,3rd,AI,LinkedIn
LD2915,Pune,DEF Academy,2nd,Cloud Computing,College Collaboration
LD2916,Pune,JKL Institute,4th,AI,Whatsapp
LD2917,Ahmedabad,ABC Institute,1st,Data Science,Whatsapp
LD2918,Pune,JKL Institute,1st,Cloud Computing,Instagram
LD2919,Kolkata,ABC Institute,1st,Electric Vehicle,LinkedIn
LD2920,Ahmedabad,PQR College,1st,Cloud Computing,Whatsapp
LD2921,Ahmedabad,PQR College,3rd,Data Science,Mass-Mailing
LD2922,Surat,XYZ University,4th,Data Science,Google Form
LD2923,Delhi,JKL Institute,4th,Data Science,Instagram
LD2924,Ahmedabad,ABC Institute,2nd,AI,LinkedIn
LD2925,Mumbai,DEF Academy,4th,Robotics,Whatsapp
LD2926,Delhi,GHI University,1st,Electric Vehicle,Google Form
LD2927,Bangalore,ABC Institute,4th,Cloud Computing,LinkedIn
LD2928,Ahmedabad,XYZ University,3rd,Electric Vehicle,Google Form
LD2929,Delhi,ABC Institute,2nd,Robotics,Whatsapp
LD2930,Chennai,JKL Institute,3rd,Cloud Computing,Mass-Mailing
LD2931,Pune,GHI University,1st,Electric Vehicle,Whatsapp
LD2932,Surat,DEF Academy,4th,Cybersecurity,Whatsapp
LD2933,Bangalore,XYZ University,1st,Data Science,College Collaboration
LD2934,Mumbai,PQR College,2nd,Robotics,LinkedIn
LD2935,Mumbai,XYZ University,4th,Electric Vehicle,College Collaboration
LD2936,Pune,XYZ University,3rd,Electric Vehicle,LinkedIn
LD2937,Pune,GHI University,1st,AI,LinkedIn
LD2938,Ahmedabad,DEF Academy,4th,Cybersecurity,Google Form
LD2939,Bangalore,DEF Academy,1st,AI,Whatsapp
LD2940,Pune,ABC Institute,1st,Cloud Computing,Whatsapp
LD2941,Pune,ABC Institute,4th,AI,Mass-Mailing
LD2942,Kolkata,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD2943,Kolkata,XYZ University,3rd,Cloud Computing,Whatsapp
LD2944,Surat,XYZ University,4th,Robotics,Google Form
LD2945,Mumbai,PQR College,4th,AI,College Collaboration
LD2946,Pune,XYZ University,1st,Robotics,Whatsapp
LD2947,Kolkata,GHI University,1st,Robotics,Whatsapp
LD2948,Mumbai,XYZ University,2nd,Robotics,Google Form
LD2949,Ahmedabad,PQR College,3rd,Cloud Computing,LinkedIn
LD2950,Delhi,DEF Academy,1st,Electric Vehicle,Google Form
LD2951,Bangalore,JKL Institute,3rd,Data Science,LinkedIn
LD2952,Pune,DEF Academy,3rd,Cloud Computing,Mass-Mailing
LD2953,Kolkata,GHI University,4th,Cloud Computing,Whatsapp
LD2954,Delhi,ABC Institute,2nd,Cybersecurity,College Collaboration
LD2955,Chennai,ABC Institute,2nd,Electric Vehicle,Instagram
LD2956,Kolkata,GHI University,4th,Electric Vehicle,Google Form
LD2957,Pune,XYZ University,3rd,Cloud Computing,LinkedIn
LD2958,Delhi,ABC Institute,2nd,Robotics,Mass-Mailing
LD2959,Chennai,XYZ University,1st,Robotics,Instagram
LD2960,Delhi,GHI University,3rd,Cloud Computing,Google Form
LD2961,Bangalore,ABC Institute,3rd,AI,Google Form
LD2962,Kolkata,PQR College,1st,Robotics,Mass-Mailing
LD2963,Delhi,XYZ University,1st,Robotics,Google Form
LD2964,Kolkata,DEF Academy,4th,Electric Vehicle,Google Form
LD2965,Ahmedabad,PQR College,1st,AI,Mass-Mailing
LD2966,Ahmedabad,JKL Institute,1st,AI,Google Form
LD2967,Pune,JKL Institute,2nd,Cloud Computing,Whatsapp
LD2968,Bangalore,XYZ University,3rd,Cloud Computing,Instagram
LD2969,Surat,XYZ University,1st,Cloud Computing,College Collaboration
LD2970,Pune,DEF Academy,4th,Cloud Computing,College Collaboration
LD2971,Kolkata,ABC Institute,4th,Cybersecurity,Whatsapp
LD2972,Bangalore,ABC Institute,1st,Cloud Computing,Mass-Mailing
LD2973,Ahmedabad,DEF Academy,3rd,AI,Mass-Mailing
LD2974,Ahmedabad,ABC Institute,3rd,Cloud Computing,Instagram
LD2975,Surat,GHI University,1st,Data Science,Google Form
LD2976,Bangalore,PQR College,4th,AI,Mass-Mailing
LD2977,Mumbai,DEF Academy,3rd,Cybersecurity,Whatsapp
LD2978,Surat,XYZ University,4th,Robotics,Google Form
LD2979,Ahmedabad,ABC Institute,4th,Robotics,Whatsapp
LD2980,Kolkata,ABC Institute,4th,Data Science,Whatsapp
LD2981,Ahmedabad,GHI University,3rd,Cloud Computing,College Collaboration
LD2982,Kolkata,XYZ University,3rd,Cybersecurity,Mass-Mailing
